tiempo_ms
35
15
130
15
46
15
16
82
16
99
109
15
15
14
15
16
15
16
16
19
103
15
15
16
15
16
14
15
16
14
16
15
37
14
15
15
14
14
14
15
16
14
14
15
37
15
16
15
16
14
27
14
15
15
14
15
40
14
15
15
25
29
15
14
15
15
16
16
13
15
14
14
15
15
15
15
15
14
14
32
15
15
42
14
15
15
17
25
16
14
15
14
14
14
14
14
38
15
21
15
14
15
15
14
14
14
51
14
27
14
15
15
14
15
14
15
15
15
43
15
14
15
14
16
16
15
14
14
15
14
14
15
15
16
15
15
14
16
20
14
14
14
19
15
26
15
15
14
19
15
26
35
14
15
15
15
15
21
15
14
15
14
15
42
14
14
15
15
14
14
14
14
14
38
14
15
16
31
26
15
15
14
15
20
15
14
14
14
15
14
14
14
14
14
15
14
44
15
36
140
14
21
15
14
16
15
19
14
14
15
15
39
14
24
15
16
22
15
15
14
14
14
17
14
14
15
14
14
14
21
15
14
15
26
16
14
15
14
15
14
14
31
14
17
15
15
14
15
15
14
14
14
15
46
14
15
15
31
15
48
14
15
15
16
14
41
19
15
14
14
15
15
14
15
15
15
16
15
21
15
14
14
22
14
15
27
39
25
15
23
23
15
23
15
31
14
15
17
14
14
14
15
15
14
14
16
14
14
22
14
37
14
14
15
15
16
15
23
15
27
15
15
14
15
16
39
15
22
22
14
15
29
14
15
14
15
23
14
14
15
15
15
14
17
15
28
15
15
15
15
14
14
14
15
14
15
15
15
15
30
54
16
18
15
15
30
14
25
14
18
15
15
14
14
15
14
14
15
15
14
14
14
19
14
14
14
17
15
26
15
21
15
14
20
15
15
15
14
14
15
16
14
14
16
14
15
21
36
14
15
14
14
14
14
14
35
13
14
14
14
14
14
15
15
25
32
14
15
15
14
14
15
15
19
14
15
15
14
14
14
15
14
15
15
14
15
14
22
15
15
14
14
32
14
15
15
14
15
15
14
14
19
15
15
26
32
16
15
15
15
16
15
14
16
14
14
26
14
15
14
22
14
43
21
29
15
14
14
15
15
14
15
15
16
14
15
35
15
14
15
15
15
15
16
15
37
15
14
15
16
27
15
15
15
15
15
17
22
37
15
14
16
14
40
14
14
15
14
14
51
14
15
14
14
24
16
16
25
15
14
14
14
14
14
15
41
14
14
